Datos de series

Total Nacional. Ambos sexos. 16 y más años. Ocupados. Personas. 
Serie,EPA87
Periodicidad,Trimestral
Unidad,Personas
DATOS
PERIODO,VALOR,TIPO DATO,NOTA
2020T4,19.344,3,Definitivo,
2020T3,19.176,9,Definitivo,
2020T2,18.607,2,Definitivo,
2020T1,19.681,3,Definitivo,
2019T4,19.966,9,Definitivo,
2019T3,19.874,3,Definitivo,
2019T2,19.804,9,Definitivo,
2019T1,19.471,1,Definitivo,
2018T4,19.564,6,Definitivo,
2018T3,19.528,0,Definitivo,
2018T2,19.344,1,Definitivo,
2018T1,18.874,2,Definitivo,
2017T4,18.998,4,Definitivo,
2017T3,19.049,2,Definitivo,
2017T2,18.813,3,Definitivo,

Dato: .. Dato no disponible
Dato: . Protegido por secreto estadístico
