Datos de series

Gasto medio por persona. Total Nacional. Turista. Dato base. 
Serie,FREG374
Periodicidad,Mensual
Unidad,Euros
DATOS
PERIODO,VALOR,TIPO DATO,NOTA
2020M12,1.073,Provisional,
2020M11,1.022,Provisional,
2020M10,845,Provisional,
2020M09,849,Provisional,
2020M08,1.006,Provisional,
2020M07,994,Provisional,
2020M06,651,Provisional,
2020M05,0,Provisional,
2020M04,0,Provisional,
2020M03,1.097,Provisional,
2020M02,1.066,Provisional,
2020M01,1.155,Provisional,
2019M12,1.164,Definitivo,
2019M11,1.088,Definitivo,
2019M10,1.097,Definitivo,

Dato: .. Dato no disponible
Dato: . Protegido por secreto estadístico
